pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
PMC13103597,qwen-plus,raw_xml,95.3,100.0,100.0,85,81,1,1,100.0,100.0,,92,11212,8820,0.0266,True
PMC13103597,qwen-plus,naive,52.9,0.0,100.0,85,45,1,0,100.0,0.0,,92,9201,7212,0.0218,True
PMC13150831,qwen-plus,contract,100.0,100.0,100.0,88,88,11,11,100.0,100.0,,102,10817,8043,0.0247,True
PMC13150831,qwen-plus,raw_xml,98.9,100.0,100.0,88,87,11,11,100.0,100.0,,102,12387,9374,0.0287,True
PMC13150831,qwen-plus,naive,60.2,81.8,100.0,88,53,11,9,99.6,100.0,,102,10523,7763,0.0239,True
PMC13167505,qwen-plus,contract,100.0,,100.0,70,70,0,0,100.0,,,194,16838,10693,0.0349,True
PMC13167505,qwen-plus,raw_xml,98.6,,100.0,70,69,0,0,100.0,,,194,19783,12023,0.0399,True
PMC13167505,qwen-plus,naive,47.1,,100.0,70,33,0,0,100.0,,,194,16575,10319,0.0339,True
PMC13167508,qwen-plus,contract,100.0,,100.0,104,104,0,0,100.0,,,80,14211,10990,0.0333,True
PMC13167508,qwen-plus,raw_xml,97.1,,100.0,104,101,0,0,100.0,,,80,15506,12042,0.0365,True
PMC13167508,qwen-plus,naive,46.2,,100.0,104,48,0,0,100.0,,,80,14017,10678,0.0326,True
PMC13167991,qwen-plus,contract,100.0,,100.0,109,109,0,0,100.0,,,112,16495,11386,0.036,True
PMC13167991,qwen-plus,raw_xml,97.2,,100.0,109,106,0,0,100.0,,,112,17947,12594,0.0395,True
PMC13167991,qwen-plus,naive,43.1,,100.0,109,47,0,0,100.0,,,112,15993,11021,0.0348,True
PMC13168002,qwen-plus,contract,100.0,,100.0,156,156,0,0,100.0,,,165,21259,15010,0.047,True
PMC13168002,qwen-plus,raw_xml,100.0,,100.0,156,156,0,0,100.0,,,165,22929,16287,0.0509,True
PMC13168002,qwen-plus,naive,53.2,,100.0,156,83,0,0,100.0,,,165,20490,14216,0.0448,True
PMC13168003,qwen-plus,contract,99.3,,100.0,140,139,0,0,100.0,,,124,15325,11080,0.0344,True
PMC13168003,qwen-plus,raw_xml,86.4,,100.0,140,121,0,0,100.0,,,124,18475,12677,0.0401,True
PMC13168003,qwen-plus,naive,52.1,,100.0,140,73,0,0,100.0,,,124,14763,10768,0.0333,True
PMC13168004,qwen-plus,contract,99.1,,100.0,112,111,0,0,100.0,,,92,12608,9611,0.0293,True
PMC13168004,qwen-plus,raw_xml,84.8,,100.0,112,95,0,0,100.0,,,92,15054,10661,0.0334,True
PMC13168004,qwen-plus,naive,50.0,,100.0,112,56,0,0,100.0,,,92,12160,9306,0.0283,True
PMC13168028,qwen-plus,contract,100.0,,100.0,138,138,0,0,100.0,,,146,13285,9220,0.0291,True
PMC13168028,qwen-plus,raw_xml,100.0,,100.0,138,138,0,0,100.0,,,146,14839,10445,0.0328,True
PMC13168028,qwen-plus,naive,52.2,,100.0,138,72,0,0,97.7,,,146,12774,8606,0.0274,True
PMC13195546,qwen-plus,contract,100.0,,100.0,26,26,0,0,100.0,,,65,5798,4231,0.0131,True
PMC13195546,qwen-plus,raw_xml,100.0,,100.0,26,26,0,0,100.0,,,65,6253,4436,0.0139,True
PMC13195546,qwen-plus,naive,53.8,,100.0,26,14,0,0,100.0,,,65,5711,4116,0.0128,True
PMC13195549,qwen-plus,contract,100.0,,100.0,51,51,0,0,100.0,,,181,12975,8262,0.0269,True
PMC13195549,qwen-plus,raw_xml,98.0,,100.0,51,50,0,0,100.0,,,181,14436,9096,0.0297,True
PMC13195549,qwen-plus,naive,60.8,,100.0,51,31,0,0,100.0,,,181,12786,8122,0.0265,True
PMC13195550,qwen-plus,contract,100.0,,100.0,73,73,0,0,100.0,,,136,15946,11774,0.0363,True
PMC13195550,qwen-plus,raw_xml,90.4,,100.0,73,66,0,0,100.0,,,136,18103,13805,0.0421,True
PMC13195550,qwen-plus,naive,56.2,,100.0,73,41,0,0,100.0,,,136,15668,11533,0.0356,True
PMC13195551,qwen-plus,contract,100.0,,100.0,78,78,0,0,100.0,,,91,13771,11856,0.0347,True
PMC13195551,qwen-plus,raw_xml,94.9,,100.0,78,74,0,0,100.0,,,91,16939,12917,0.0394,True
PMC13195551,qwen-plus,naive,55.1,,100.0,78,43,0,0,100.0,,,91,13462,11357,0.0335,True
PMC13195552,qwen-plus,contract,100.0,,100.0,109,109,0,0,100.0,,,111,9534,7316,0.0223,True
PMC13195552,qwen-plus,raw_xml,100.0,,100.0,109,109,0,0,100.0,,,111,10891,8402,0.0255,True
PMC13195552,qwen-plus,naive,34.9,,100.0,109,38,0,0,100.0,,,111,9052,6747,0.0207,True
PMC13195557,qwen-plus,contract,100.0,,100.0,214,214,0,0,100.0,,,263,20745,15102,0.0468,True
PMC13195557,qwen-plus,raw_xml,96.7,,100.0,214,207,0,0,100.0,,,263,18316,13011,0.0407,True
PMC13195557,qwen-plus,naive,51.9,,100.0,214,111,0,0,100.0,,,263,20016,14622,0.0453,True
PMC13223667,qwen-plus,contract,100.0,,100.0,75,75,0,0,100.0,,,148,13719,10267,0.0315,True
PMC13223667,qwen-plus,raw_xml,98.7,,100.0,75,74,0,0,100.0,,,148,15124,11414,0.0349,True
PMC13223667,qwen-plus,naive,52.0,,100.0,75,39,0,0,100.0,,,148,13457,10229,0.0312,True
